# Matrix with as entries the values of fidelity dimension times x iterations
2.000000000000037026e-01,2.000000000000038691e-01,2.000000000000038136e-01,2.000000000000037581e-01,2.000000000000037026e-01,2.000000000000038136e-01,2.000000000000038136e-01,2.000000000000037026e-01,2.000000000000038136e-01,2.000000000000037581e-01
2.196340107534580921e-01,2.197063075665890153e-01,2.202218200749048727e-01,2.227142906329338257e-01,2.210813728527614708e-01,2.197244717475615450e-01,2.196566167941429448e-01,2.201647561475282566e-01,2.200004640939144107e-01,2.200843617154918941e-01
2.815252527093680679e-01,2.779174688894425760e-01,2.753242533300811479e-01,2.790806463227445966e-01,2.812013550160565867e-01,2.807617978441815931e-01,2.847433961187297857e-01,2.790582789049715351e-01,2.786364725711611978e-01,2.814360412842493719e-01
3.700460201355358358e-01,3.735024647454306956e-01,3.661667380600984179e-01,3.670283196195983089e-01,3.754785832817371105e-01,3.621191721101358896e-01,3.673999992298198625e-01,3.704884666371098256e-01,3.667789208123742872e-01,3.657018481122458198e-01
4.757585448234804004e-01,4.767028233591429354e-01,4.801850165663807402e-01,4.834912707114926711e-01,4.712384073319986211e-01,4.895958211324196729e-01,4.842652437924047648e-01,5.071750572267114121e-01,4.803061747007065230e-01,5.003035605718347822e-01
5.985108247483296173e-01,6.012762042317100208e-01,5.878420869050221542e-01,6.151973695561511191e-01,6.016681201256623979e-01,5.957063011641366979e-01,6.011351978246644023e-01,5.943661650529508123e-01,5.895068146532396192e-01,5.995396600008507937e-01
7.182282814583562658e-01,7.083213420828127216e-01,7.063522992629175379e-01,7.099465875575566853e-01,7.306833889078740985e-01,7.213957415777290105e-01,7.228236915463026602e-01,7.121379571894194127e-01,7.083224414580365780e-01,7.284512622808756444e-01
8.183150015644290454e-01,8.226283341527256265e-01,8.322026030784632766e-01,8.366150594113820338e-01,8.330678768075294727e-01,8.077986395065648306e-01,8.195724186985283710e-01,8.247628413634624511e-01,8.388193617982263595e-01,8.382487379228291680e-01
9.062790012897955494e-01,8.969154558095648877e-01,9.150011416796787200e-01,9.094763376878827188e-01,8.974946573929305504e-01,9.022952448585277452e-01,9.156145189047472099e-01,9.157829507206177722e-01,8.963104486749842170e-01,9.154822057550517922e-01
9.645019854809706583e-01,9.643939105446220905e-01,9.768817884266063345e-01,9.667428080048594552e-01,9.680854843915548402e-01,9.666977705154202738e-01,9.656416360493316198e-01,9.607811841667359687e-01,9.649179511731673653e-01,9.671691498392364084e-01
9.931240844713011828e-01,9.941867659288562420e-01,9.945806811848755258e-01,9.995324132333858191e-01,9.971392072383139515e-01,9.935892813579996208e-01,9.948080465267450379e-01,9.971721102616071253e-01,9.946206210763304245e-01,9.979853337077236874e-01
9.999917578127051065e-01,9.999294432982681613e-01,9.999532222968888773e-01,9.998769147083010900e-01,9.999364999164495060e-01,9.997124550569546075e-01,9.999567405418918753e-01,9.999621960755201711e-01,9.998384954621404308e-01,9.998944391127319031e-01
9.999972915474507618e-01,9.999972070349729680e-01,9.999842686137800918e-01,9.999844121325696111e-01,9.999559999510403419e-01,9.999047419040038021e-01,9.999794134907133980e-01,9.999654116877871868e-01,9.999869080487427953e-01,9.999589065249526731e-01
9.998768847763497281e-01,9.999940176938548753e-01,9.999745394833369216e-01,9.999849376974490056e-01,9.999772949012644130e-01,9.999825713796720583e-01,9.999794919029187934e-01,9.999946318299898218e-01,9.999493670871145712e-01,9.998297720061425364e-01
9.999912834702926467e-01,9.999685702130634013e-01,9.999791450472926835e-01,9.999765353805897261e-01,9.999898850333747147e-01,9.999637623224302274e-01,9.999032540358578913e-01,9.999514647389728950e-01,9.998726889578609667e-01,9.999956497345202644e-01
9.997286564169793888e-01,9.999775475928674995e-01,9.999996162433872904e-01,9.999955779892872876e-01,9.998871544083385299e-01,9.998626318186312201e-01,9.999411270297382526e-01,9.999324499982262804e-01,9.999251560994039112e-01,9.999205806546102027e-01
9.999226322342265050e-01,9.996576645259210858e-01,9.998226245747966479e-01,9.998793503956706630e-01,9.999758021147842069e-01,9.999595323658483359e-01,9.998376850142992600e-01,9.995352134133065336e-01,9.999320438309039494e-01,9.994623479024887791e-01
